item,itemLabel,startDate,endDate
Q60749006,Sheikh Rashid bin Humaid Al Nuaimi,1816,1838
Q60785942,Sheikh Humaid bin Rashid Al Nuaimi,1838,1841
Q57728593,Sheikh Abdelaziz bin Rashid Al Nuaimi,1841,1848
,Sheikh Humaid bin Rashid Al Nuaimi,1848,1864
Q57728597,Sheikh Rashid bin Humaid Al Nuaimi II,1864,1891
Q57728604,Sheikh Humaid bin Rashid Al Nuaimi II,1891,1900
Q57729207,Sheikh Abdulaziz bin Humaid Al Nuaimi,1900,1910
Q57729213,Sheikh Humaid Humaid bin Abdulaziz Al Nuaimi,1910,1928
Q7294894,Sheikh Rashid bin Humaid Al Nuaimi III,1928,1981
Q2984620,Sheikh Humaid bin Rashid Al Nuaimi III,1981,
