item,itemLabel,startDate,endDate
Q57164122,Sheikh Khalid bin Ahmad Al Qasimi,1914-04-03,1924-11-21
Q57164266,Sheikh Sultan bin Saqr Al Qasimi II,1924-11-21,1951
,Sheikh Muhammad bin Saqr Al Qasimi,1951,1951-05
Q12220103,Sheikh Saqr bin Sultan Al Qasimi,1951-05,1965-06-24
Q12210050,Sheikh Khalid bin Mohammed Al Qasimi,1965-06-24,1972-01-24
,Sheikh Saqr bin Muhammad Al Qasimi,1972-01-25,1972
Q754778,Sheikh Sultan bin Muhammad Al-Qasimi,1972,1987-06-17
,Sheikh 'Abd al- 'Aziz bin Muhammad Al Qasimi,1987-06-17,1987-06-23
Q754778,Sheikh Sultan bin Muhammad Al-Qasimi,1987-06-23,
