@@,itemlabel,item,startdate,enddate
->,Saqr bin Rashid Al Qasimi->Sheikh Saqr bin Rashid Al Qasimi,Q57164232,1777,1803
+++,Sheikh Sultan bin Saqr al-Qasimi,,1803,1808
+++,Sheikh al-Husayn bin Ali al-Qasimi,,1808,1814
->,Hassan bin Rahma Al Qasimi->Sheikh Hassan bin Rahma Al Qasimi,Q56868101,1814,1820
+++,Sheikh Sultan bin Saqr al-Qasimi,,1820,1866
+++,Sheikh Ibrahim bin Sultan al-Qasimi,,1866,1867-05
->,Khalid bin Sultan Al Qasimi->Sheikh Khalid bin Sultan Al Qasimi,Q60785755,1867-05,1868-04-14
->,Salim bin Sultan Al Qasimi->Sheikh Salim bin Sultan al-Qasimi,Q57164210,1868-04-14,1869
->,Humaid bin Abdullah Al Qasimi->Sheikh Humaid bin Abdullah Al Qasimi,Q60785780,1869,1900-08
->,Sultan bin Salim Al Qasimi->Sheikh Sultan bin Salim Al Qasimi,Q60785796,1921-07-10,1948-02
->,Saqr bin Mohammad al-Qassimi->Sheikh Saqr bin Mohammad Al Qassimi,Q1380993,1948-02,2010-10-27
->,Saud bin Saqr al Qasimi->Sheikh Saud bin Saqr Al Qasimi,Q1368398,2010-10-27,
