item,itemLabel,startDate,endDate
Q57164232,Sheikh Saqr bin Rashid Al Qasimi,1777,1803
,Sheikh Sultan bin Saqr al-Qasimi,1803,1808
,Sheikh al-Husayn bin Ali al-Qasimi,1808,1814
Q56868101,Sheikh Hassan bin Rahma Al Qasimi,1814,1820
,Sheikh Sultan bin Saqr al-Qasimi,1820,1866
,Sheikh Ibrahim bin Sultan al-Qasimi,1866,1867-05
Q60785755,Sheikh Khalid bin Sultan Al Qasimi,1867-05,1868-04-14
Q57164210,Sheikh Salim bin Sultan al-Qasimi,1868-04-14,1869
Q60785780,Sheikh Humaid bin Abdullah Al Qasimi,1869,1900-08
Q60785796,Sheikh Sultan bin Salim Al Qasimi,1921-07-10,1948-02
Q1380993,Sheikh Saqr bin Mohammad Al Qassimi,1948-02,2010-10-27
Q1368398,Sheikh Saud bin Saqr Al Qasimi,2010-10-27,
