item,itemLabel,startDate,endDate
Q56733545,Obeid bin Said bin Rashid,1833-07-09,1836
Q340197,Maktoum bin Butti bin Suhail,1833-07-09,1852
Q344111,Saeed bin Butti,1852,1859
Q340171,Hasher bin Maktoum,1859,1886-11-22
Q340184,Rashid bin Maktoum,1886-11-22,1894-04-07
Q340089,Maktoum bin Hasher Al Maktoum,1894-04-07,1906-02-16
Q340060,Butti bin Sohail,1906-02-16,1912-11
Q713801,Saeed bin Maktoum bin Hasher Al Maktoum,1912-11,1929-04-15
,Mani bin Rashid,1929-04-15,1929-04-18
Q713801,Saeed bin Maktoum bin Hasher Al Maktoum,1929-04-18,1958-09
Q733312,Rashid bin Saeed Al Maktoum,1958-09-10,1990-10-07
Q215477,Maktoum bin Rashid Al Maktoum,1990-10-07,2006-01-04
Q57655,Mohammed bin Rashid Al Maktoum,2006-01-04,
