wanted,position,positionid,from,start,end
Q14946900,Minister of State for Foreign Affairs,Q112645669,Q105539926,2021-02-10,
Q1746137,Minister of Culture and Knowledge Development,Q110975281,Q16733485,2017-10-20,2020-07-04
Q14946900,Minister of State for Federal National Council Affairs,Q110975280,Q16733485,2016-02-10,2017-10-19
Q1573260,Deputy Prime Minister,Q106181156,Q7400024,2009-05-10,
Q7636761,Deputy Prime Minister,Q106181156,Q7400024,2009-05-10,
Q7294871,Minister of Foreign Affairs,Q110964346,Q58301,2006-02-09,
